id,worry_wave1,chosen_emotion_wave1,anger_wave1,disgust_wave1,fear_wave1,anxiety_wave1,sadness_wave1,happiness_wave1,relaxation_wave1,desire_wave1,text_long_wave1,worry_wave2,chosen_emotion_wave2,anger_wave2,disgust_wave2,fear_wave2,anxiety_wave2,sadness_wave2,happiness_wave2,relaxation_wave2,desire_wave2,text_long_wave2
220,7,Anxiety,6,2,7,8,6,3,2,2,Mostly just anxious. Not a lot of people seem to be taking it as seriously as they should be and a lot of people could die before their time due to the neglegence of others. From people on the street to people in the government. NHS workers are being thrown to the lions with basically a stick as protection in regards to safety equipment. If there's one hope it's that this whole thing will make people realise how underfunded the NHS has been all this time and how it's necessary to pump more cash into it.,7,Anxiety,6,4,5,6,5,4,4,3,it's getting better but we're now over a year into this and a lot of things haven't really changed. i understand lockdown is important but it's still difficult to have motivation to do anything when the country is essentially turned off at the mains. Isolation is hard to deal with over a long period of time and things you'd like to do but arent allowed to do is frustrating. I'm very much looking forward to when things get back to normal or close to what once was the norm. I also hope a lot of lessons were learnt from this. I feel like we could have avoided such a long time in lockdown if things were done differently at the start.
221,8,Anxiety,8,8,8,9,8,2,3,3,"I am scared, anxious, worried and very angry at people not taking it seriously.
I am stuck indoors alone with 2 children, this is extremely stressful.
Scared about losing my job and where money is coming from, this makes me upset.
My job is my """"""""""""""""""""""""""""""""social"""""""""""""""""""""""""""""""" life, the only time is see other adults. I am so lonely.
My children are angry and do not understand why they cant go to the park when other kids are there. They think I am being mean which also upsets me.
I am tired of not doing anything (I am actually tired). ",5,Anger,8,7,6,6,7,4,3,2,"angry and just plain cheesed off with all of it. Although slightly worried I feel we have wasted over a year. I am angry because I followed the rules yet so many lives were still lost. I am upset that my children lost out education, clubs, holidays, birthdays etc.
I am angry I was forced back to work as a key worker and not once received a thank you.  I am fed up and want to experience some sort of life with my children while they are still children.
I am angry/upset that I have to where a mask (pretty sure I am exempt but not worth the arguments)."
222,5,Anxiety,8,6,6,8,5,5,5,5,"I am concerned about how the UK government is dealing with things.  They do not inspire confidence. They have been slow to respond, have got things wrong, didn't take it seriously early enough, etc. I have no confidence in them.  I'm quite enjoying lockdown though as I have so much more time and have been able to jobs around the house and the garden which is nice. I feel more in control at home, but am concerned when I venture out because other people are more unpredicable and the government hasn't locked down enough so the disease is still spreading.",5,Anger,7,6,6,6,7,5,5,5,"I am very annoyed with the government for doing so little to protect us.  Even the vaccination programme which could have been a positive was turned negative by using it as an experimental tool and moving the goal posts for some after they had had their first vaccination.  I'm fed up of the restrictions, but see that they are necessary generally.  I do think it should have been a stronger lockdown so it could have been shorter - too many going to work.  Schools are going back too early with no real measures in place to stop spread of aerosol.  I feel anxious because I am still waiting for my jab and my son is back at school with hundreds of kids from Monday.  He will be on public transport too.  If they had waited till the end of the month it would have made a big difference to me."
223,5,Sadness,2,1,4,6,6,4,3,1,"I don't feel as scared as I did a couple of weeks ago. I don't think it will be as bad as predicted in the UK, and I think the daily deaths will peak very soon, if they haven't already. I feel sad and worried about Boris Johnson being admitted to hospital. I feel a bit fed up and frustrated about lockdown. I'm worried that we'll soon be told we can't go out to exercise, as that's the thing making me feel normal at the moment. I'm still slightly worried and anxious about the health of my family members (if they were to catch the virus), although I'm less worried that they'll catch it than I was a week or two ago. I'm sad I probably won't be able to go on holiday this year.",2,Sadness,1,1,1,4,6,2,5,1,"I'm tired of the Covid situation now. We need to start getting back to normal and reopening shops and businesses. The most vulnerable people have already been vaccinated, and everyone else will be vaccinated soon, so it's time to get life back to normal. I no longer feel worried or anxious about Covid, if I catch it then it shouldn't affect me too badly. We can't lock everyone away just to save the most vulnerable people in society. I think we need to let people have more freedom and be responsible for their own health. "
224,5,Anxiety,2,3,5,6,5,3,4,2,"I have become somewhat numb and generally have gotten used to the sad state of the Corona situation and the toll it is having on the country (and the world), however I still feel an underlying sense of anxiety. I feel somewhat restless due to the uncertainty of the future and what lies ahead and how long this crisis will last. I have a feeling of longing to see my loved ones that I have not been able to see during the crisis. I feel slightly upset and angry at people still ignoring the government and scientific advice to stay inside.",5,Anxiety,5,4,5,6,5,3,3,6,I feel very tired and exhausted from the current covid-19 situation as it has been going on for a year now. I still feel very anxious about the uncertainty of the future and the months and year to come. I also feel angry that the government has not done more to support the people that need it during the pandemic. I also feel a strong longing and desire to finally do normal things again like seeing/visiting friends and family once covid-19 restrictions are lifted. I want to return to normality without having the constant worry of covid.
225,4,Sadness,4,4,4,5,7,3,4,1,"I feel weary and frustrated, I am identified as a key worker and have been moved to shifts to encourage social distancing and have had extremely early starts in the morning which are tiring. I am unable to stay longer in work to finish up a o as I must avoid the next shift. I worry about my aged mother and I miss seeing my grandsons who I would normally see at least once a week. I get stressed by having to reassure people who are worrying and by having to correct misinformation that they may have picked up on social media. I feel patronized by the Queens speech ",6,Sadness,2,2,1,5,7,5,5,1,"I feel tired of it all, although the effect on me is minimal, so many people's lives have been affected. I hate wearing a mask but I  wear it. I feel lucky that I live in Wales as the Welsh governments handling has been better than that shower in England.
I am on a vaccine trial and have now been offered the NHS vaccine so am waiting for an unblinding appointment so I am curious about that, but not anxious.
I worry about the effect it is having on my loved ones, my mother is elderly and in poor health and I have not been able to visit since the summer, my Grandsons miss their friends and the routine of school."
226,7,Anxiety,2,2,5,9,5,4,4,1,"I am still concerned about delivery slot availability for grocery delivery. I am on the very high risk and vulnerable register so should be priority but the supermarkets have only just received the list so it's taking time to role out priority. I am obviously concerned about catching the virus but am at home for at least the next 12 weeks other than for my medical appointments. Getting a bit lonely. Missing seeing my mum, who I normally meet for lunch 3 times a week and miss checking up on her other by phone as she is quite elderly and has health issues too.",7,Anxiety,2,3,5,8,6,1,1,1,"As a clinically extremely vulnerable person I have a lot of anxiety about the virus. However, I just received my 2nd vaccine today and hope that helps.

I would feel better if things were slowed down - I don't think we are ready to move forward yet.

I have nothing else to say. But I'm not hitting 500 characters so cannot proceed. Therefore there will not be any useful information below this. Not sure what else I can add.

I worry about my relatives too - my sister is reluctant to have the vaccine unless it can be completed in the initially recommended period of 3 weeks."
227,5,Anxiety,1,1,2,6,3,4,5,1,"While I am appreciating spending more time at home with my immediate family, I am missing seeing my parents and friends. I don' really like phone calls and prefer face-to-face communications, so it is hard in that respect. I feel a little anxious as to how long this will go on for. I also worry about whether my parents will get ill. It's also hard not having things to look forward to, as you can't plan anything at the moment. I do like having a bit more time to myself (when my son and husband let me!) but I'm also working full time from home so that means I don't have limitless time. ",6,Anxiety,6,3,4,8,6,6,3,1,I am just feeling fed up with it all. I just want everyone to be vaccinated and for things to get back to some semblance of normality. I am also angry at the ineptitude of our government for allowing so many to die and for not giving nurses the pay rise they deserve. They have been an utter shambles; it is embarrassing. The only positives in all this are that people discovered it is possible to work from home if they so wish to do so after this; some people have found great ways to relax; we have a much better appreciation of teachers; and that science and vaccines are still things the UK does well.
228,7,Anxiety,3,3,5,7,3,7,8,5,"Part of me is anxious because I miss being free to go outside and go to places, but I also feel somewhat relaxed because I am fortunate to be in full-time employment and can work from home. I am also enjoying being able to spend more time with my family. I am very busy so cannot fully enjoy the many free leisure activities now available to us!
I am worried in case any of my close family, especially my children or my grandparents, get Covid-19 and what that could mean for us. This would somewhat change how I currently feel about the situation. Although things are bad in general, for my family here we have it relatively good.",6,Anxiety,1,1,2,4,2,6,6,3,"I'm glad that things are improving. I am a bit anxious that I have not had a vaccine yet, and that something bad could still happen and I could get it before the vaccine comes. I am glad that my children are now able to go back to school though. They will have to take tests twice a week, which is also a bit stressful. I am worried that they may end up having to come home an isolate if a friend tests positive, or if they do. They are so excited to go back to school that it would be a real shame if that had to happen."
229,8,Anxiety,3,1,3,4,3,2,4,1,"I grow frustrated at idiots who aren't taking it seriously and whose actions and selfishness puts others at risk. I risk my own health daily as a key worker and they show a lack of respect for me in doing so. I lose my voice from directing people and I stand in in the wind to have to deal with morons who can't follow simple instructions like being asked to stand behind the line. I have to stay professional while they go shopping for red bull and crisps, when all I want to tell them is to stay the fuck home. I think the profanity there sums up my feelings on the matter.",4,Relaxation,2,3,2,3,1,6,8,2,"I feel like the current existing strains of it are beginning to be under control, and we can almost begin to relax, but we don't know what the future holds. I am quite sure that some worse disease will come along, whether a coronavirus variant or something new, and another frightening pandemic will be upon us then, probably one much more scary and deadly. The most disturbing part is that while we can prepare the practicalities like PPE and organisational work, we can't prepare for the unknown, the illness itself. And some people have been incredibly selfish and never even cared about minimising the transmission of this disease so they'll probably be just as cavalier next time."
230,7,Sadness,2,1,6,7,8,2,3,1,"At the minute I feel anxious, because I don’t know how we can move away from lockdown without causing another huge amount of cases of coronary. If there was some plan that the public were aware of then this would ease my anxiety but at present the government are not giving anything away in terms of what the next steps might be. Even if they do not know themselves 100% what will happen they must have some options that they are considering. It would be helpful for me personally to understand what they might be",3,Desire,2,2,2,3,4,5,5,7,"I am feeling fairly relaxed about it. Unfortunately I caught covid whilst pregnant at the end of 2020 and we also lost my husband’s grandma to covid at the same time so the last few months have been difficult. However, my baby is due soon and the vaccine rollout is going well in the UK. A roadmap out of lockdown has also been announced so I am feeling hopeful for the future and like I can see the ‘light at the end of the tunnel’. My mum and aunt are both particularly vulnerable and have received their first dose of vaccine so I also feel more confident that if they were to catch the virus they would likely not be affected too badly. I am looking forward to getting back to normal and spending time with family and friends again. "
231,9,Anxiety,1,1,5,7,7,5,5,1,"Feeling very worried about the future, how it will affect all of our lives going forward and whether a vaccine will be found. Feel sad and anxious to be living like this and hate not having freedom. Makes me feel depressed and bored and frustrated. Worried about my children and finances and how we will manage. Worried about me and my family becoming poorly and how that could end up being catastrophic. I can't stop watching the news and analysing figures and statistics. Waiting for daily totals to come out each day to see where we're at with it all. A very stressful and anxious time. ",3,Sadness,4,1,3,5,5,5,5,1,"Absolutely fed up, sick and tired of lockdown. Bored. Missing out on life. Sick of rules and regulations dictating my life. Want to get back to normal asap, have already broken rules and intend to carry on doing so as I need my and my family's mental health to be ok. Not worried about catching covid, would rather live my life with freedom than this depressing way of living. Overreaction by the government. Lockdown should end now, open shops and businesses asap. Get rid of face masks. Let people live their lives how they want to. "
232,9,Fear,5,5,9,9,8,2,2,6,I am very worried about it worried about my family catching it and to loose love ones so scared to come out the house and if I. catch it and spread it it's always on my mine all the time   Can not sleep thinking about it it scares you when you read or watch how many people have catches it and have passed away and that it spreading so fast I worry about my family when they are off to work   Until they come home thinking I hope they don't catch I don the shopping but am so frighten to go to the shops and be around people and many people don't listen and obey the rules it sad to see the world in this situation i have lost friends to this viras,9,Sadness,5,4,3,3,9,6,6,6,I really feel sad that this isn’t control and we soon are out of lockdown it gives me anxiety to go shopping for items and scared I will catch COVID I feel if this was control in a good manner we would not be in this situation some times am depressed in the house I can not see my family  and scared for my parents whom are not well and feel that the country has let us down  with many people who do not care and mix a lot and it’s going to get out of controlled I couldn’t see my daughter who had a major surgery and felt really sad and scared for her
233,8,Sadness,2,2,7,7,8,5,4,3,"I currently have very mixed emotions regarding the coronavirus. I am sad that I am unable to see my parents as they do not live in the same house as me and I am worried about their health and them being safe. 
Although it has not been by choice it is almost nice to pause and have a break from every day life although it is now starting to become a struggle and I am missing the simple day to day things I would normally have the freedom to do. 
I am disappointed in some people who are ignoring the rules and not listening when there are people dying from this awful virus every day.",7,Desire,1,1,5,6,6,5,2,7,"I feel worried that we will never get away from coronavirus and that life will never be normal again. I really feel ready to have life back again and be able to live properly rather than just surviving, I want to be able to do things with my son as he has basically been shut inside for most of his life so far. I feel angry at the government for their handling of everything related to corona and how they keep changing the goal posts for things getting better and they are messing around with people’s life’s and it’s not fair."
234,8,Fear,6,3,8,7,8,2,6,2,"My feelings are up and down.  I feel sad at times, fearful for myself and my family, loss of my previous life.  Sometimes I feel happiness at the activities I'm doing with my family, and stress about getting my job done, keeping the house clean and tidy and my child educated.  I feel under pressure from social media to be achieving things during this time.  I would like to be getting healthier but at the same time am tired, sleeping poorly, feeling unmotivated and wanting to eat and drink alcohol.",6,Relaxation,1,1,3,2,1,6,8,1,"I am feeling worried about catching it as I'm immunosuppressed, but less worried than before as I have received my first vaccine.  I feel conflicted as I actually like some aspects of lockdown such as not commuting, being able to work flexibly.  I'm sad that my son hasn't seen his grandparents for over a year but also worried about how tiring life will be when we are 'back to normal'.  I'm looking forward to seeing my friends and familya gain later in the year and am hopeful that we might manage a holiday in the UK."
235,7,Anxiety,2,2,7,7,7,5,6,5,"At this moment i time i feel relaxed, i am doing everything i can to protect myself and the people i love and care about. I am staying in and only going out to replenish food supplies every 10 or so days. I feel that i am doing everything that i physically can to protect myself and my family. I am not as anxious as i was last week, i can see that people around me in my local area are also keeping to the rules and advice from the government about staying in and everyone seems to be practicing social distancing. ",7,Relaxation,1,1,2,2,1,6,8,6,"I feel more relaxed now because with the introduction of the vaccines life does look like it may be about to start getting back to normal again. There is definitely light at the end of the tunnel and I can sense that the majority of people feel that way too. It's been a hard few months but we are nearly there. I think we have done well and I feel thankful that I have come through it unharmed, I am ready to get on with living life to the full again. I feel that as a country we have worked well together."
236,7,Anxiety,3,2,6,8,6,1,2,1,"I feel very apprehensive about my future at this current time. I am currently furloughed from my work and don't frankly know if I will have a job to go back to, this in turn increases my anxiety over money, paying for things etc. The actual virus itself whilst being the cause of these issues seems to be the least serious of them at this time. I am complying with the government instructions by not going out unnecessarily but when you see people flagrantly ignoring the distancing rules it makes me angry because they will be the reason for this continuing longer.",2,Relaxation,1,2,1,1,2,2,5,2,"With the vaccine going well and the hospitalisations falling I am starting to relax more about the actual disease itself. I think the release from lockdown is slow and the economy should be given the chance to restart now. The longer everything is shut, the longer it will take to recover and more people will lose their jobs.
I personally just want to go to work and return to some sort of normality, I need it for my wellbeing and for financial reasons. I have been on furlough for the best part of a year and it has honestly been the worst year ever, the worry of thinking whether or not I would ever return to work."
237,9,Anxiety,6,4,7,9,9,2,2,2,I am very worried about the corona virus in particular for my 87 year old mom  son who has immune deficiency due to chemo last year future daughter in law who is a nurse and my daughter who is still working and taking 999 calls. My anxiety levels are very high and am waking up early and working harder to try and take my mind off it. I feel great sadness and have cried at the death toll . One of my sons friend dad who has cancer has died from the corona virus and a local teacher. I just wish things could go back to normal.,9,Sadness,1,1,2,2,6,5,4,4,Corona situation dragging on and on. Happy about vaccines but precautions still heavy. New mutations are a worry. My mom aged 88 has been shielding for nearly a year now sigh. No holidays no pubs no hairdressers no restaurants no charity shops all being greatly missed. Wish we could get back to normal. National debt is horrendous worried about son losing his job. Daughter not been furloughed is a key worker subsequently caught covid still cant smell anything luckily i didnt catch it isolating with her but being mega careful ....was a strain having windows constantly open in the winter and got through 2 bars of soap handwashing
238,6,Sadness,2,2,6,6,8,5,5,3,"I am sad that people have to die from this virus. I am anxious to some extent as my health may make me more vulnerable. I am relaxed as I am working from home and my family is as secure as possible. Whilst I appreciate working from home, I realise that there is still a significant risk of catching the virus and fear becoming unfit As the only exercise I get is walking the dog in the evening. I am relieved that none of my family has been ill, but worry what will Happen if urgent care beds are available and one is needed",6,Relaxation,4,3,6,4,4,5,3,5,"Happy that potentially the end is in sight and that life can return to as close to normal as is possible in the not too distant future. Having had jab 1 I feel somewhat more safe in life and relaxed about the future. I feel very sad about those who have list their lives and respect for those who have worked through at risk to their own lives.

I am sorry for those who have list their jobs during the year, but feel it was a necessary sacrifice for the greater good. I am confident that the economy will bounce back with reasonable speed"
239,7,Anxiety,2,2,6,8,6,4,4,2,"I feel anxious all the time and worried for my family and friends. I feel lonely as I live on my own and only go out for a daily walk with my dog. I go to the shops to shop for my elderly Mum and then take it to her, leaving it on her doorstep. I hate just talking to her through the door and I feel sad leaving her like that. I am anxious going to the shops and would rather not go but my Mum relies on me. I feel sad watching the news and hearing the figures for the number of deaths that day. I feel confused and disillusioned by what we are told to do by the government and what they seem to be doing. I’m worried we are not being told the truth by the government.",4,Relaxation,1,1,2,4,2,7,8,5,"I am hopeful that we are getting to a situation where Corona will be controlled. I don’t think that we will ever be rid of it but am hoping we will be able to live with it. I will be having my first vaccination next week  which has cheered me immensely. I think that the better weather and the vaccine has improved my mental well being. I feel I have reason to be optimistic for the first time in ages. I cannot wait to see my friends and family again even if it has to be outside, I have missed social contact so much more than I thought I would. I am saddened that so many lives have been lost or changed for ever and am not happy with the way the government has handled the corona situation apart from the vaccine roll out. In summary I feel less anxious and more optimistic."
240,6,Anxiety,3,2,1,3,2,2,3,1,"Worried about my granny, she's got my mum living with her but she's very depressed and has lost interest in doing things (just had a text from my mum asking if I still had a rowing machine as she's trying to get her to do some exercise - I didn't, but she realised she wouldn't have been able to pick it up anyway. Also thinking of my grandad, he lives alone & was just recovering from pneumonia threat had lasted months when all this started so planning to ring him later. I was reading some articles about the situation not long ago so feeling a bit down at the moment.",4,Anxiety,4,1,3,8,6,1,4,1,"The vaccination programme is going well and proving to be effective, so it does feel like there is good reason to be hopeful that it will be much more under control before too long; I'm wary of being too optimistic though as all sorts could happen still, e.g.with the variations, and it's impossible to predict; wouldn't have imagined this time last year that it would still be having such an effect now. And even if/when the spreading of it is controlled, the damage it has caused will be felt for a long time so hard to feel much relief."
241,8,Anxiety,5,3,8,9,6,2,3,6,I’m very worried about my household catching corona virus I have small children. I’m also really worried about my parents and grandparents catching it they are elderly and not in great health. My husband works for the nhs so is still out at work everyday so even though I’m social distancing with the children it feels pointless as he’s going out picking up germs. I’m trying to homeschool my children one who has dyspraxia and needs to run off a lot of energy not great with a small garden. I’m also sick of seeing people out and about in groups,6,Anxiety,4,4,6,7,6,5,4,4,"I’m feeling more down as time goes on I just hold on to the hope that the vaccines are helping. I think the cold weather makes it worse I miss my parents as they live miles away. I work in hospital near  home and husband outside so feel so stressed.. Kids go back school Monday it’s a nice normality but still a worry. I hope by summer I will feel better, shops will be open and I may be able to see my parents. I worry about the economy and how we will get back on track and I’m worried about tax increases. Exercise helps as does been outside ."
242,5,Anxiety,1,1,3,5,2,5,1,2,"I am concerned to a certain degree, although I feel this has lessened since last week, and the week before, when I felt much more anxious. This anxiety and worry is generally about the unknown, i.e. how long this will last for and the effect it will have on my finances. I do also feel a little anxiety in catching the virus itself as the supermarkets are busy and its very difficult to keep socially distance.
I do feel this  anxiety has lessened in the recent days due to being proactive with finding alternative business ventures and looking at a more long term view instead of just the next month or so. This has made me feel more hopeful and excited about the future rather than fearful.",5,Anxiety,1,1,2,5,1,3,1,1,I feel happy that things seem to be moving along with the Corona situation. It put my mind at rest when we were given a roadmap out of lockdown. I'm sad that my wedding has been cancelled twice but hopeful that I can get married later this year. I'm concerned about my finances as I've lost a lot of income due to Corona but again hopeful that I'll be able to sort that out soon. My Dad has had his vaccine so that is good news and we hopefully will get ours in the next few months. I'm looking forward to be able to go out and about again.
243,7,Sadness,1,1,3,3,5,5,5,3,"I am worried as I am on the vulnerable list and my husband is a key worker so he is in and out and he and I feel the risk is high for me catching the virus. Anxious before he gets home. So I feel tense most weekdays, sad as we socially distance, missing a hug.
Frightened as a friends cousin died.
I am feeling happy as I can keep safe though and also because I am loved and supported.
I feel satisfied as I am doing the best I can to support others while they are anxious and or stressed with the fear of catching this  horrid diease.",7,Relaxation,1,1,1,2,1,7,9,1,"I feel very apprehensive, last year I was told to shield, my husband to shield with me. The figures were very low.
This year my husband has to work, the figures are high and him and I worry we are at way more risk. The support for shielding people is not taking into account partners.
Until he is vaccinated we are going to be vulnerable. I have been in a full 13 months next week and it seems that the government are not really protecting people like me who have other people in the house having to work.
I feel sad as I have not seen my children or grandchildren to hug for over a year. "
244,9,Fear,9,9,9,9,9,1,1,1,"I'm terrified. I constantly worry about catching the virus and dying..
I'm not allowed out of the house at all as I am in the most vulnerable group so am feeling very depressed and tearful.
I think it has all been dealt with badly by the government. They should be arresting people who are going out for no real reason these selfish people are killing others with their stupidity.
The sooner people realise how dangerous this virus it's the better, sadly some people just don't care and think the rules don't apply to them.",9,Anxiety,2,2,8,9,6,2,1,1,"I feel sad and disappointed that the people not sticking to the rules spoil things for the rest of us.
I also feel angry that people are spreading the virus and don't care.
If people would just do what was asked lockdown wouldn't have been so long, This applies to all people whether they are rich, poor, famous or just a member of the public.
I am very worried about catching it and also concerned that a lot of people seem to think that once they have had one shot of the vaccine they can carry on as normal and meet family or friends.
This can only lead to cases rising again."
245,7,Fear,4,3,8,7,7,3,2,2,"I think, as mentioned before, fear is the only feeling I can think of that represents my current mood. Fear about the uncertainty of the virus, fear about getting the virus and not being able to be treated to the extent that I would need/want to as other thousands of people will be needing help at the same time, fear of losing any loved one. As person I always like to plan things in my life and at this moment I feel like im incapable of making any plan about how to move forward from this. All these thoughts and feeling as running in my head constantly every singe day. Unfortunately being from another EU country that has taken humungous measures and hearing daily about the possitive impact that these rule have on my country, I feel betrayed by the UK how is supposed to be a better country, with more resources and better healthcare, as in my opinion government does not do enough in order to protect its people.",6,Disgust,4,7,4,4,5,5,4,2,"For me, Covid has shown me how not unified people are. It is shocking to see that at least 1/3 of the people I interact with (due to my job) dont believe in Covid and dont do anything to prevent themselves and/or other to catch it or transmit it. This is extremely annoying for me and due to that I very often feel moody and angry throughout my day. At the same time, knowing that my family is in a different country makes me less worried about them and how my job can affect their health; however the fact that I have managed to send a whole year not (knowingly/ tested)tested positive for covid and I have followed all necessary rules in order to do so, makes me extremely angry to see people responding so carelessly about it and being the reason why we are heading back to normality so slowly."
246,6,Sadness,1,2,3,3,6,5,6,4,"I am not too worried about the situation as I believe I am a fit and healthy human being. I am more worried about family members becoming ill with the disease and I am also very sad that I cannot see them at this time. Thankfully with technology these days I can see them everyday through a screen and chat to both friends and family whenever I want to. Its just annoying that I cannot leave the house apart from to get essentials, I live in a flat and with the nice weather we are having its becoming quite a struggle.",2,Happiness,1,2,2,3,2,5,4,5,"I believe we are making a great effort to vaccinate the majority of the nation, the one thing I disagree with is that the schools have gone back so urgently. I believe this may cause another rise in cases for the people that have not yet had the vaccine. This will in turn push back the other relaxations of the lockdown, meaning sports cannot return and pubs/restaurants cannot open.
I want to return back to work in London at the earliest and this will not become available until June 21st at least."
247,6,Anxiety,3,2,4,4,3,6,4,4,"Fearful more for my elderly parents than myself...hoping everyone comes out safe. I feel anxious as I dont know about the future. I also find taking each day as it comes helps. These things are put of my control so i will live life with the flow. I worry for my children and hope they stay safe.,, I try not to overthink things because I don't want to worry about the future which is not in my hands. I worry about the Peak in terms of the number of deaths I also worry about out the financial strain on households ",6,Anxiety,2,2,3,6,3,4,4,2,When will this lockdown end so things can go back to normal. This makes me feel anxious. I would like to enjoy being being able to eat outside. I feel worried for the vunerable people. Especially for those who are weak and old. I worry about the third wave and I’m scared of news that the third wave could be the most deadliest. I look forward to things going back to normal. Times like this make me appreciate the things we take for granted. I look forward to this coming to an end. I look forward to meeting my family and being able to hug my loved ones.
248,9,Anxiety,3,3,8,8,5,3,3,2,"Sacred for the whole country, but really scared for my elderly parents. Scared of the financial implications for myself and my husband. Worry that the value of our house will deteriorate and we will be in a much poorer situation as a result. Think that the country will go into a recession. Am now worried that the priminister is now in intensive care. Miss seeing my friends and loosing contact with them. Live in fear of picking something up and transferring it to my parents and worry about them dying",7,Sadness,4,2,5,6,7,2,4,2,Tired of the whole situation. Wondering what will happen to the economy and peoples future. Think the economic outlook is grim and we will have to live with the effects of the virus for decades. Hoping that my workplace will change and I will be able to work from home more. Bit more hopeful that the vaccine will allow shops and pubs to open and we will get back to some sense of normality. But overall just fed up of everything and wondered what the long term impact will be on the whole country and everyone’s future
249,7,Sadness,4,5,8,8,8,6,6,3,"I feel very worried about the future and what it may hold as there is so much uncertainty with health and work. I don’t sleep well now as the situation seems to change all the time and I don’t feel confident about the future both near and far. I feel other people don’t take it seriously and wish more people would just stay indoors I have stopped taking my daily walk out as there are too many people about and I constantly want to avoid them and not go near anyone.
Seeing the shop shelves starting to get back to normal has been a relief and has put my mind slightly at ease but our local shop still has lots of gaps on shelves.",7,Anxiety,6,3,7,8,6,7,6,3,"I’m sometimes start to feel more hopeful that things will return to being a bit more normal but then I will perhaps see something on the news or social media about events happening in other countries and it will make me worried again about if we will ever be normal again.
The vaccine is great news but I worry about new strains and if it will be any good against them .I am lucky though that I have had work but my partner has not had so much so financially we are not doing so great but we are coping ."
250,5,Sadness,4,5,5,9,9,1,3,3,"I'm upset about the situation but not afraid, I am just depressed in general and am finding the situation intolerable. I am sick of people complaining and not following the rules. I have no other feelings either way about this and anything else I am writing is merely to fill the required characters to allow me to move on to the next part of the questions, which I am finding hard to Do. I do not have these many feelings and have fully explained my self and am finding I am getting annoyed because this just keeps making me write more than I care to.",4,Anxiety,4,4,4,8,6,4,4,4,"i am feeling very unsure about covid at the moment. I would like the world to get back to normal, but think that the easing of restrictions is coming too soon, and people are going to end up getting us back into the same situation we were in last year by ignoring the advice given. 
I would like to continue working from home, and to have lockdown restrictions eased, but believe we will be back in some state of lockdown by summer. This is why i am feeling anxious as schools have just gone back and this is when we saw infection rates increase last year, and nothing was done quickly enough, leading to lockdown 2"
251,9,Fear,8,6,9,9,9,2,1,1,"I am very tense about the corona situation. I am worried for my loved ones and my friends, I don’t want anything and to happen to them. I am scared to leave the house and when I absolutely have to I do it as quickly as possible. I want life to go back to normal. I don’t want to be scared of contact with people. I want to be free to go where I want. I’m scared that I will become infected and infect my family. I don’t believe people are taking this seriously and that the police need to do more to protect us. This lockdown is scary but needed. ",9,Anxiety,2,2,8,9,8,1,3,1,"I feel very anxious about Corona. I am scared when I think about being around people. I wear a mask everywhere I go, even if I'm just walking on the road and I wash my hands constantly. My anxiety is hard to control and I feel sadness at not being able to enjoy things I used to due to being scared of corona. Thinking about doing things in the future scares me but I am trying to be less anxious. Thinking about going to a restaurant worries me as I wouldn't be in control of what was happening. My anxiety is hard to deal with but I have a great support network and talking helps me. "
252,4,Relaxation,1,2,1,1,7,4,8,2,"Lockdown has to happen for another few months yet and I'm prepared for that and just hoping the idiocy of the few don't spoil it for the rest of us and it becomes a total lockdown like in spain. I don't think the government has done enough and should have gave everyone a basic income so that the economy wouldn't suffer as much and the poorest aren't worse off than the ones who get 80% of their income paid. 

We will not forgive or forget these selfish people who have stockpiled and flauted the rules regardijng social distancing either",1,Relaxation,1,1,1,1,1,5,7,6,"Just waiting til shops and pubs are open, I don't want to get the vaccine as I feel I don't need it but I will take it as I want to travel and go to pubs, restaurants and gigs again and don't trust this government to stop companies from insisting on proof of vaccine, they screwed the nurses and doctors with their pay rise and they will screw the rest of us too. Unfortuantely I don't think people are taking it seripusly enough, I was just out to 3 shops and all of them were packed with some people not caring about masks or social distancing and acting like things were normal again"
253,7,Anxiety,2,5,6,8,8,3,2,3,"With all that is going on at the moment my anxiety levels are very high I really don't want to leave the house even for shopping
I fear what may happen next and to be honest feel quite scared a friend of mine who was a nurse has just died at the age of 29 she was trying to save lives and lost her own
I really don't know what will happen next I feel scared as the death toll Rises each day I worry for my family and friends
Is the scary time in the world with everybody on lockdown also not working at the moment so I have money worries as well it just had the stress s of being in the house
",7,Relaxation,4,2,1,5,4,6,7,2,"Having lost a friend to covid last year who was a young bubbly nurse in her prime, covid is a scary thought.  People who don't believe it to be more than flu need to open their eyes and see the bigger picture.  The government has not played the best part in this but ultimately it is down to us to follow the rules and stay safe. The vaccine seems to be having a good impact and hopefully life will regain some normality very soon. This is going to have an impact on the economy for months if not years ahead.




"
